id,name,group,short_description,识别锚点,线条与造型,人物设计,色彩体系,上色与渲染,光影,分镜与版式,材质与表面,最适合题材,避免混淆,GPT_Image_2_5_核心提示词
91,孟菲斯漫画,现代艺术流派漫画,高饱和几何图形、圆点、锯齿、波浪线和不对称构图，轻松、玩味、80年代感强。,圆点、锯齿、波浪线、粉黄青蓝黑、不对称几何,线条和空间服从对应艺术运动,角色造型和表演必须服务该类型；不要只换滤镜或背景。,使用该流派最典型的色彩关系,让艺术构成真正作用于人物和场景,光影服从题材和类型；关键镜头强化视觉焦点。,文字、面板和主体共同服从统一构成,保留涂鸦、拼贴、印刷或绘画痕迹,选择城市、人物、音乐、消费文化或荒诞事件，让艺术构成成为页面主角,避免自然主义背景,漫画视觉体系：孟菲斯漫画。核心识别锚点：圆点、锯齿、波浪线、粉黄青蓝黑、不对称几何。线条与造型：线条和空间服从对应艺术运动。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：使用该流派最典型的色彩关系。上色/渲染：让艺术构成真正作用于人物和场景。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：文字、面板和主体共同服从统一构成。材质：保留涂鸦、拼贴、印刷或绘画痕迹。题材建议：选择城市、人物、音乐、消费文化或荒诞事件，让艺术构成成为页面主角。风格区分：避免自然主义背景。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
92,新表现主义漫画,现代艺术流派漫画,粗暴笔触、涂鸦线条和高冲突色彩，强调原始情绪。,粗暴笔触、涂鸦文字、原始人形、高冲突色,线条和空间服从对应艺术运动,角色造型和表演必须服务该类型；不要只换滤镜或背景。,使用该流派最典型的色彩关系,让艺术构成真正作用于人物和场景,光影服从题材和类型；关键镜头强化视觉焦点。,文字、面板和主体共同服从统一构成,保留涂鸦、拼贴、印刷或绘画痕迹,选择城市、人物、音乐、消费文化或荒诞事件，让艺术构成成为页面主角,避免精致商业修饰,漫画视觉体系：新表现主义漫画。核心识别锚点：粗暴笔触、涂鸦文字、原始人形、高冲突色。线条与造型：线条和空间服从对应艺术运动。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：使用该流派最典型的色彩关系。上色/渲染：让艺术构成真正作用于人物和场景。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：文字、面板和主体共同服从统一构成。材质：保留涂鸦、拼贴、印刷或绘画痕迹。题材建议：选择城市、人物、音乐、消费文化或荒诞事件，让艺术构成成为页面主角。风格区分：避免精致商业修饰。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
93,涂鸦漫画,现代艺术流派漫画,喷漆、马克笔、手写字和街头符号大量介入分镜。,喷漆字、皇冠、箭头、马克笔、街舞地铁,线条和空间服从对应艺术运动,角色造型和表演必须服务该类型；不要只换滤镜或背景。,使用该流派最典型的色彩关系,让艺术构成真正作用于人物和场景,光影服从题材和类型；关键镜头强化视觉焦点。,文字、面板和主体共同服从统一构成,保留涂鸦、拼贴、印刷或绘画痕迹,选择城市、人物、音乐、消费文化或荒诞事件，让艺术构成成为页面主角,避免干净白盒版式,漫画视觉体系：涂鸦漫画。核心识别锚点：喷漆字、皇冠、箭头、马克笔、街舞地铁。线条与造型：线条和空间服从对应艺术运动。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：使用该流派最典型的色彩关系。上色/渲染：让艺术构成真正作用于人物和场景。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：文字、面板和主体共同服从统一构成。材质：保留涂鸦、拼贴、印刷或绘画痕迹。题材建议：选择城市、人物、音乐、消费文化或荒诞事件，让艺术构成成为页面主角。风格区分：避免干净白盒版式。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
94,街头艺术漫画,现代艺术流派漫画,Stencil、贴纸、墙面纹理和城市图形结合，具有街头视觉文化感。,Stencil、贴纸、墙面剥落、城市巨幅人物,线条和空间服从对应艺术运动,角色造型和表演必须服务该类型；不要只换滤镜或背景。,使用该流派最典型的色彩关系,让艺术构成真正作用于人物和场景,光影服从题材和类型；关键镜头强化视觉焦点。,文字、面板和主体共同服从统一构成,保留涂鸦、拼贴、印刷或绘画痕迹,选择城市、人物、音乐、消费文化或荒诞事件，让艺术构成成为页面主角,避免室内精致插画,漫画视觉体系：街头艺术漫画。核心识别锚点：Stencil、贴纸、墙面剥落、城市巨幅人物。线条与造型：线条和空间服从对应艺术运动。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：使用该流派最典型的色彩关系。上色/渲染：让艺术构成真正作用于人物和场景。光影：光影服从题材和类型；关键镜头强化视觉焦点。。分镜与版式：文字、面板和主体共同服从统一构成。材质：保留涂鸦、拼贴、印刷或绘画痕迹。题材建议：选择城市、人物、音乐、消费文化或荒诞事件，让艺术构成成为页面主角。风格区分：避免室内精致插画。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
95,黑色电影漫画,电影类型漫画,高反差光影、侦探旁白和城市阴影营造悬疑与宿命感。,黑白雨夜、百叶窗影、侦探帽、宿命旁白,成熟写实或图像小说线条,角色造型和表演必须服务该类型；不要只换滤镜或背景。,建立明确类型片调色,电影材质、景深和空间关系清楚,把类型片灯光作为核心叙事信息，而不是装饰。,大量使用建立镜头、正反打、特写和宽银幕大格,胶片、雨雾、霓虹反射或时代摄影质感按类型使用,选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格,避免彩色霓虹,漫画视觉体系：黑色电影漫画。核心识别锚点：黑白雨夜、百叶窗影、侦探帽、宿命旁白。线条与造型：成熟写实或图像小说线条。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：建立明确类型片调色。上色/渲染：电影材质、景深和空间关系清楚。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：大量使用建立镜头、正反打、特写和宽银幕大格。材质：胶片、雨雾、霓虹反射或时代摄影质感按类型使用。题材建议：选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格。风格区分：避免彩色霓虹。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
96,都市霓虹漫画,电影类型漫画,彩色霓虹、拖影、反射与碎片对白突出都市夜生活情绪。,紫蓝品红霓虹、拖影、湿地反射、夜行孤独,成熟写实或图像小说线条,角色造型和表演必须服务该类型；不要只换滤镜或背景。,建立明确类型片调色,电影材质、景深和空间关系清楚,把类型片灯光作为核心叙事信息，而不是装饰。,大量使用建立镜头、正反打、特写和宽银幕大格,胶片、雨雾、霓虹反射或时代摄影质感按类型使用,选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格,避免日光清新,漫画视觉体系：都市霓虹漫画。核心识别锚点：紫蓝品红霓虹、拖影、湿地反射、夜行孤独。线条与造型：成熟写实或图像小说线条。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：建立明确类型片调色。上色/渲染：电影材质、景深和空间关系清楚。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：大量使用建立镜头、正反打、特写和宽银幕大格。材质：胶片、雨雾、霓虹反射或时代摄影质感按类型使用。题材建议：选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格。风格区分：避免日光清新。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
97,公路电影漫画,电影类型漫画,长距离移动镜头、大远景和沿途环境变化构成旅途叙事。,车窗、公路、大远景、沿途变化、伙伴关系,成熟写实或图像小说线条,角色造型和表演必须服务该类型；不要只换滤镜或背景。,建立明确类型片调色,电影材质、景深和空间关系清楚,把类型片灯光作为核心叙事信息，而不是装饰。,大量使用建立镜头、正反打、特写和宽银幕大格,胶片、雨雾、霓虹反射或时代摄影质感按类型使用,选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格,避免封闭室内,漫画视觉体系：公路电影漫画。核心识别锚点：车窗、公路、大远景、沿途变化、伙伴关系。线条与造型：成熟写实或图像小说线条。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：建立明确类型片调色。上色/渲染：电影材质、景深和空间关系清楚。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：大量使用建立镜头、正反打、特写和宽银幕大格。材质：胶片、雨雾、霓虹反射或时代摄影质感按类型使用。题材建议：选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格。风格区分：避免封闭室内。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
98,西部片漫画,电影类型漫画,荒野、低机位、强阳光和对峙构图形成孤独与决斗感。,荒漠小镇、低机位、正午强光、枪手对峙,成熟写实或图像小说线条,角色造型和表演必须服务该类型；不要只换滤镜或背景。,建立明确类型片调色,电影材质、景深和空间关系清楚,把类型片灯光作为核心叙事信息，而不是装饰。,大量使用建立镜头、正反打、特写和宽银幕大格,胶片、雨雾、霓虹反射或时代摄影质感按类型使用,选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格,避免现代都市元素,漫画视觉体系：西部片漫画。核心识别锚点：荒漠小镇、低机位、正午强光、枪手对峙。线条与造型：成熟写实或图像小说线条。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：建立明确类型片调色。上色/渲染：电影材质、景深和空间关系清楚。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：大量使用建立镜头、正反打、特写和宽银幕大格。材质：胶片、雨雾、霓虹反射或时代摄影质感按类型使用。题材建议：选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格。风格区分：避免现代都市元素。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
99,功夫电影漫画,电影类型漫画,横向动作、身体节奏和中近景连续切换，强调招式过程。,近身招式、横向身体节奏、起势接招转身收式,成熟写实或图像小说线条,角色造型和表演必须服务该类型；不要只换滤镜或背景。,建立明确类型片调色,电影材质、景深和空间关系清楚,把类型片灯光作为核心叙事信息，而不是装饰。,大量使用建立镜头、正反打、特写和宽银幕大格,胶片、雨雾、霓虹反射或时代摄影质感按类型使用,选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格,避免能量波替代实体动作,漫画视觉体系：功夫电影漫画。核心识别锚点：近身招式、横向身体节奏、起势接招转身收式。线条与造型：成熟写实或图像小说线条。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：建立明确类型片调色。上色/渲染：电影材质、景深和空间关系清楚。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：大量使用建立镜头、正反打、特写和宽银幕大格。材质：胶片、雨雾、霓虹反射或时代摄影质感按类型使用。题材建议：选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格。风格区分：避免能量波替代实体动作。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
100,武侠电影漫画,电影类型漫画,留白、长焦、飞檐、雾气和缓急节奏结合，强调东方电影感。,竹林雾月、长焦留白、克制刀剑、诗意余韵,成熟写实或图像小说线条,角色造型和表演必须服务该类型；不要只换滤镜或背景。,建立明确类型片调色,电影材质、景深和空间关系清楚,把类型片灯光作为核心叙事信息，而不是装饰。,大量使用建立镜头、正反打、特写和宽银幕大格,胶片、雨雾、霓虹反射或时代摄影质感按类型使用,选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格,避免港漫爆炸字,漫画视觉体系：武侠电影漫画。核心识别锚点：竹林雾月、长焦留白、克制刀剑、诗意余韵。线条与造型：成熟写实或图像小说线条。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：建立明确类型片调色。上色/渲染：电影材质、景深和空间关系清楚。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：大量使用建立镜头、正反打、特写和宽银幕大格。材质：胶片、雨雾、霓虹反射或时代摄影质感按类型使用。题材建议：选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格。风格区分：避免港漫爆炸字。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
101,恐怖电影漫画,电影类型漫画,暗角、狭窄视野、突然特写和停顿构成惊吓节奏。,暗角、狭窄走廊、空镜停顿、突然特写,成熟写实或图像小说线条,角色造型和表演必须服务该类型；不要只换滤镜或背景。,建立明确类型片调色,电影材质、景深和空间关系清楚,把类型片灯光作为核心叙事信息，而不是装饰。,大量使用建立镜头、正反打、特写和宽银幕大格,胶片、雨雾、霓虹反射或时代摄影质感按类型使用,选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格,避免提前展示怪物,漫画视觉体系：恐怖电影漫画。核心识别锚点：暗角、狭窄走廊、空镜停顿、突然特写。线条与造型：成熟写实或图像小说线条。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：建立明确类型片调色。上色/渲染：电影材质、景深和空间关系清楚。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：大量使用建立镜头、正反打、特写和宽银幕大格。材质：胶片、雨雾、霓虹反射或时代摄影质感按类型使用。题材建议：选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格。风格区分：避免提前展示怪物。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
102,科幻电影漫画,电影类型漫画,巨构建筑、冷色灯光、HUD和尺度对比建立未来世界。,巨构空间站、宇航服、HUD、尺度对比,成熟写实或图像小说线条,角色造型和表演必须服务该类型；不要只换滤镜或背景。,建立明确类型片调色,电影材质、景深和空间关系清楚,把类型片灯光作为核心叙事信息，而不是装饰。,大量使用建立镜头、正反打、特写和宽银幕大格,胶片、雨雾、霓虹反射或时代摄影质感按类型使用,选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格,避免卡通玩具感,漫画视觉体系：科幻电影漫画。核心识别锚点：巨构空间站、宇航服、HUD、尺度对比。线条与造型：成熟写实或图像小说线条。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：建立明确类型片调色。上色/渲染：电影材质、景深和空间关系清楚。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：大量使用建立镜头、正反打、特写和宽银幕大格。材质：胶片、雨雾、霓虹反射或时代摄影质感按类型使用。题材建议：选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格。风格区分：避免卡通玩具感。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
103,灾难片漫画,电影类型漫画,大尺度破坏、群像和连续危险升级形成强烈压迫感。,城市崩塌、人群逃生、碎屑尘雾、危险升级,成熟写实或图像小说线条,角色造型和表演必须服务该类型；不要只换滤镜或背景。,建立明确类型片调色,电影材质、景深和空间关系清楚,把类型片灯光作为核心叙事信息，而不是装饰。,大量使用建立镜头、正反打、特写和宽银幕大格,胶片、雨雾、霓虹反射或时代摄影质感按类型使用,选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格,避免单英雄摆姿势,漫画视觉体系：灾难片漫画。核心识别锚点：城市崩塌、人群逃生、碎屑尘雾、危险升级。线条与造型：成熟写实或图像小说线条。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：建立明确类型片调色。上色/渲染：电影材质、景深和空间关系清楚。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：大量使用建立镜头、正反打、特写和宽银幕大格。材质：胶片、雨雾、霓虹反射或时代摄影质感按类型使用。题材建议：选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格。风格区分：避免单英雄摆姿势。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
104,谍战漫画,电影类型漫画,分屏、监控画面、文件、地图和冷静特写推进信息博弈。,监控、文件、地图、秘密交换、冷静特写,成熟写实或图像小说线条,角色造型和表演必须服务该类型；不要只换滤镜或背景。,建立明确类型片调色,电影材质、景深和空间关系清楚,把类型片灯光作为核心叙事信息，而不是装饰。,大量使用建立镜头、正反打、特写和宽银幕大格,胶片、雨雾、霓虹反射或时代摄影质感按类型使用,选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格,避免超级英雄动作,漫画视觉体系：谍战漫画。核心识别锚点：监控、文件、地图、秘密交换、冷静特写。线条与造型：成熟写实或图像小说线条。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：建立明确类型片调色。上色/渲染：电影材质、景深和空间关系清楚。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：大量使用建立镜头、正反打、特写和宽银幕大格。材质：胶片、雨雾、霓虹反射或时代摄影质感按类型使用。题材建议：选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格。风格区分：避免超级英雄动作。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
105,犯罪电影漫画,电影类型漫画,冷色街灯、阴影和克制对白，适合都市犯罪与黑帮故事。,冷街灯、黑帮交易、现金武器特写、克制暴力,成熟写实或图像小说线条,角色造型和表演必须服务该类型；不要只换滤镜或背景。,建立明确类型片调色,电影材质、景深和空间关系清楚,把类型片灯光作为核心叙事信息，而不是装饰。,大量使用建立镜头、正反打、特写和宽银幕大格,胶片、雨雾、霓虹反射或时代摄影质感按类型使用,选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格,避免明亮喜剧色,漫画视觉体系：犯罪电影漫画。核心识别锚点：冷街灯、黑帮交易、现金武器特写、克制暴力。线条与造型：成熟写实或图像小说线条。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：建立明确类型片调色。上色/渲染：电影材质、景深和空间关系清楚。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：大量使用建立镜头、正反打、特写和宽银幕大格。材质：胶片、雨雾、霓虹反射或时代摄影质感按类型使用。题材建议：选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格。风格区分：避免明亮喜剧色。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
106,青春电影漫画,电影类型漫画,柔光、生活瞬间和细碎特写组成自然清新的青春叙事。,逆光海边/校园、照片感、生活瞬间、群像,成熟写实或图像小说线条,角色造型和表演必须服务该类型；不要只换滤镜或背景。,建立明确类型片调色,电影材质、景深和空间关系清楚,把类型片灯光作为核心叙事信息，而不是装饰。,大量使用建立镜头、正反打、特写和宽银幕大格,胶片、雨雾、霓虹反射或时代摄影质感按类型使用,选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格,避免暗黑高反差,漫画视觉体系：青春电影漫画。核心识别锚点：逆光海边/校园、照片感、生活瞬间、群像。线条与造型：成熟写实或图像小说线条。人物：角色造型和表演必须服务该类型；不要只换滤镜或背景。。色彩：建立明确类型片调色。上色/渲染：电影材质、景深和空间关系清楚。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：大量使用建立镜头、正反打、特写和宽银幕大格。材质：胶片、雨雾、霓虹反射或时代摄影质感按类型使用。题材建议：选择该电影类型最典型的场景与冲突，用镜头语言而不是装饰词区分风格。风格区分：避免暗黑高反差。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
107,颜艺漫画,喜剧叙事结构漫画,通过极端面部变形和突然夸张表情直接制造笑点。,脸部瞬间极端变形、爆字、正常画风突然崩坏,清晰商业彩漫或轻漫画线条,角色人设反差、表情节奏和身体动作必须直接产生笑点。,明快可读，包袱处允许突然变灰白或爆色,角色和场景易读，关键处可Q版化/颜艺化,把类型片灯光作为核心叙事信息，而不是装饰。,分镜必须服务铺垫—升级—停顿—包袱,汗滴、黑线、石化、问号、速度线按笑点使用,选择简单日常事件，让笑点结构清楚可见,避免全程同强度颜艺,漫画视觉体系：颜艺漫画。核心识别锚点：脸部瞬间极端变形、爆字、正常画风突然崩坏。线条与造型：清晰商业彩漫或轻漫画线条。人物：角色人设反差、表情节奏和身体动作必须直接产生笑点。。色彩：明快可读，包袱处允许突然变灰白或爆色。上色/渲染：角色和场景易读，关键处可Q版化/颜艺化。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：分镜必须服务铺垫—升级—停顿—包袱。材质：汗滴、黑线、石化、问号、速度线按笑点使用。题材建议：选择简单日常事件，让笑点结构清楚可见。风格区分：避免全程同强度颜艺。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
108,一本正经荒诞漫画,喜剧叙事结构漫画,画面和叙事极度认真，但事件本身非常微小或荒谬。,电影级严肃画面讲极小蠢事,清晰商业彩漫或轻漫画线条,角色人设反差、表情节奏和身体动作必须直接产生笑点。,明快可读，包袱处允许突然变灰白或爆色,角色和场景易读，关键处可Q版化/颜艺化,把类型片灯光作为核心叙事信息，而不是装饰。,分镜必须服务铺垫—升级—停顿—包袱,汗滴、黑线、石化、问号、速度线按笑点使用,选择简单日常事件，让笑点结构清楚可见,避免提前暴露笑点,漫画视觉体系：一本正经荒诞漫画。核心识别锚点：电影级严肃画面讲极小蠢事。线条与造型：清晰商业彩漫或轻漫画线条。人物：角色人设反差、表情节奏和身体动作必须直接产生笑点。。色彩：明快可读，包袱处允许突然变灰白或爆色。上色/渲染：角色和场景易读，关键处可Q版化/颜艺化。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：分镜必须服务铺垫—升级—停顿—包袱。材质：汗滴、黑线、石化、问号、速度线按笑点使用。题材建议：选择简单日常事件，让笑点结构清楚可见。风格区分：避免提前暴露笑点。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
109,史诗化日常漫画,喜剧叙事结构漫画,把吃饭、迟到、抢咖啡等小事画成世界大战般宏大。,日常小事被战争史诗化、旗帜火光英雄姿态,清晰商业彩漫或轻漫画线条,角色人设反差、表情节奏和身体动作必须直接产生笑点。,明快可读，包袱处允许突然变灰白或爆色,角色和场景易读，关键处可Q版化/颜艺化,把类型片灯光作为核心叙事信息，而不是装饰。,分镜必须服务铺垫—升级—停顿—包袱,汗滴、黑线、石化、问号、速度线按笑点使用,选择简单日常事件，让笑点结构清楚可见,结尾要回到日常,漫画视觉体系：史诗化日常漫画。核心识别锚点：日常小事被战争史诗化、旗帜火光英雄姿态。线条与造型：清晰商业彩漫或轻漫画线条。人物：角色人设反差、表情节奏和身体动作必须直接产生笑点。。色彩：明快可读，包袱处允许突然变灰白或爆色。上色/渲染：角色和场景易读，关键处可Q版化/颜艺化。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：分镜必须服务铺垫—升级—停顿—包袱。材质：汗滴、黑线、石化、问号、速度线按笑点使用。题材建议：选择简单日常事件，让笑点结构清楚可见。风格区分：结尾要回到日常。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
110,反高潮漫画,喜剧叙事结构漫画,前面不断升级冲突，最后用极平静或极无聊的结果完成笑点。,前面不断升级，最后突然安静平淡,清晰商业彩漫或轻漫画线条,角色人设反差、表情节奏和身体动作必须直接产生笑点。,明快可读，包袱处允许突然变灰白或爆色,角色和场景易读，关键处可Q版化/颜艺化,把类型片灯光作为核心叙事信息，而不是装饰。,分镜必须服务铺垫—升级—停顿—包袱,汗滴、黑线、石化、问号、速度线按笑点使用,选择简单日常事件，让笑点结构清楚可见,避免最后继续加码,漫画视觉体系：反高潮漫画。核心识别锚点：前面不断升级，最后突然安静平淡。线条与造型：清晰商业彩漫或轻漫画线条。人物：角色人设反差、表情节奏和身体动作必须直接产生笑点。。色彩：明快可读，包袱处允许突然变灰白或爆色。上色/渲染：角色和场景易读，关键处可Q版化/颜艺化。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：分镜必须服务铺垫—升级—停顿—包袱。材质：汗滴、黑线、石化、问号、速度线按笑点使用。题材建议：选择简单日常事件，让笑点结构清楚可见。风格区分：避免最后继续加码。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
111,吐槽系漫画,喜剧叙事结构漫画,一个角色疯狂行动，另一个角色冷静吐槽形成固定喜剧关系。,疯癫行动者+冷静吐槽者的固定反差,清晰商业彩漫或轻漫画线条,角色人设反差、表情节奏和身体动作必须直接产生笑点。,明快可读，包袱处允许突然变灰白或爆色,角色和场景易读，关键处可Q版化/颜艺化,把类型片灯光作为核心叙事信息，而不是装饰。,分镜必须服务铺垫—升级—停顿—包袱,汗滴、黑线、石化、问号、速度线按笑点使用,选择简单日常事件，让笑点结构清楚可见,避免两人都同样疯狂,漫画视觉体系：吐槽系漫画。核心识别锚点：疯癫行动者+冷静吐槽者的固定反差。线条与造型：清晰商业彩漫或轻漫画线条。人物：角色人设反差、表情节奏和身体动作必须直接产生笑点。。色彩：明快可读，包袱处允许突然变灰白或爆色。上色/渲染：角色和场景易读，关键处可Q版化/颜艺化。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：分镜必须服务铺垫—升级—停顿—包袱。材质：汗滴、黑线、石化、问号、速度线按笑点使用。题材建议：选择简单日常事件，让笑点结构清楚可见。风格区分：避免两人都同样疯狂。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
112,误会系漫画,喜剧叙事结构漫画,角色基于错误理解行动，最后一格揭示真正情况。,角色基于错误信息行动，末格揭示真相,清晰商业彩漫或轻漫画线条,角色人设反差、表情节奏和身体动作必须直接产生笑点。,明快可读，包袱处允许突然变灰白或爆色,角色和场景易读，关键处可Q版化/颜艺化,把类型片灯光作为核心叙事信息，而不是装饰。,分镜必须服务铺垫—升级—停顿—包袱,汗滴、黑线、石化、问号、速度线按笑点使用,选择简单日常事件，让笑点结构清楚可见,避免提前露出关键事实,漫画视觉体系：误会系漫画。核心识别锚点：角色基于错误信息行动，末格揭示真相。线条与造型：清晰商业彩漫或轻漫画线条。人物：角色人设反差、表情节奏和身体动作必须直接产生笑点。。色彩：明快可读，包袱处允许突然变灰白或爆色。上色/渲染：角色和场景易读，关键处可Q版化/颜艺化。光影：把类型片灯光作为核心叙事信息，而不是装饰。。分镜与版式：分镜必须服务铺垫—升级—停顿—包袱。材质：汗滴、黑线、石化、问号、速度线按笑点使用。题材建议：选择简单日常事件，让笑点结构清楚可见。风格区分：避免提前露出关键事实。创作真实完整的漫画页面，而不是单张角色插画或四幅无关图片；人物、环境、文字、气泡、音效和特效必须统一属于所选视觉体系。
